comment_id,author,text,published_at,cleaned_comment,sentiment,sentiment_category,tokens,topic
UgzlnySkDUqXlfX36l54AaABAg,@jeremiahpope120,36M in 20hrs,2021-11-25T17:08:48Z,36m in 20hrs,0.0,Neutral,[],0
Ugz3GnvIjBJyi5paon94AaABAg,@BonoG99,"Very high production value, loved it",2021-11-25T17:08:47Z,very high production value loved it,0.45399999999999996,Positive,"['high', 'production', 'value', 'love']",3
Ugw9iR_aNebNTm_Ati94AaABAg,@madcatsausageman,"It's awesome...
Love from Bangladesh 🇧🇩",2021-11-25T17:08:47Z,it s awesome love from bangladesh,0.75,Positive,"['awesome', 'love', 'bangladesh']",0
UgxD-rRDNT2HaY3S-rN4AaABAg,@automobilebasicideas,Hi 😍😍,2021-11-25T17:08:47Z,hi,0.0,Neutral,['hi'],4
UgxDeazuX6FSnfABZr54AaABAg,@iamtherealdaviddobrik6847,David Dobrik,2021-11-25T17:08:45Z,david dobrik,0.0,Neutral,"['david', 'dobrik']",4
UgwpLIayNywdjTgg0WJ4AaABAg,@mlggameplay4205,"368, why u be tawking liyke dat",2021-11-25T17:08:45Z,368 why u be tawking liyke dat,0.0,Neutral,"['u', 'tawke', 'liyke', 'dat']",1
Ugxr5vw010N3VN_98-t4AaABAg,@giovannipaoloii1686,So sick bro,2021-11-25T17:08:44Z,so sick bro,-0.7142857142857143,Negative,"['sick', 'bro']",0
UgxX-x13kNNR3DyiKP14AaABAg,@paigeshoneymoon,wow,2021-11-25T17:08:42Z,wow,0.1,Positive,['wow'],1
UgxW5ZwC7KmlF3sQMId4AaABAg,@saidaquispi9571,Ya me suscribí :C xd,2021-11-25T17:08:42Z,ya me suscribí c xd,0.0,Neutral,"['ya', 'suscribí', 'c', 'xd']",2
UgzNJIHJ5fs6t12Ft-t4AaABAg,@doseemdez,R.I.P all who died😭💔,2021-11-25T17:08:40Z,r i p all who died,0.0,Neutral,"['r', 'p', 'die']",0
Ugzfu5VdTtzyL81jHO54AaABAg,@АртёмБобровский-у9ж,Он переплюнул Диму Масленникова,2021-11-25T17:08:40Z,он переплюнул диму масленникова,0.0,Neutral,"['он', 'переплюнул', 'диму', 'масленникова']",2
Ugx1JbYDdmvw46C5VHh4AaABAg,@manicrashed,"You’re getting backlash, I say this is one of your most amazing projects. Good job Mr. Beast we love you.",2021-11-25T17:08:40Z,you re getting backlash i say this is one of your most amazing projects good job mr beast we love you,0.575,Positive,"['get', 'backlash', 'say', 'one', 'amazing', 'project', 'good', 'job', 'mr', 'beast', 'love']",3
UgwbK8TGxTRSe6AQqal4AaABAg,@TheEgg-King,FINALLY I HAVE BEEN WAITING,2021-11-25T17:08:40Z,finally i have been waiting,0.0,Neutral,"['finally', 'wait']",0
UgwMoUp81wcFwCLJ5FJ4AaABAg,@biggiesmalls116,I want MONEY!!!!!!!!!!!!!!!!!!!!!!!!!!!!! IM SUBED,2021-11-25T17:08:39Z,i want money im subed,0.0,Neutral,"['want', 'money', 'sub']",1
UgxPseWl_hqk-itkvRB4AaABAg,@1hrMt837,Can we all give a round of applause for the hardwork MR BEAST has taken his time doing this for our community,2021-11-25T17:08:38Z,can we all give a round of applause for the hardwork mr beast has taken his time doing this for our community,-0.2,Negative,"['give', 'round', 'applause', 'hardwork', 'mr', 'beast', 'take', 'time', 'community']",0
Ugws1-pM-2L1atq5A9d4AaABAg,@kenyamanja1991,i wishhhhh i could do that,2021-11-25T17:08:38Z,i wishhhhh i could do that,0.0,Neutral,"['wishhhhh', 'could']",2
Ugxh-Hc4IVx26uEEALR4AaABAg,@Jiaz.vr123,I have brawl stars. It is a fun game,2021-11-25T17:08:38Z,i have brawl stars it is a fun game,-0.05000000000000002,Negative,"['brawl', 'star', 'fun', 'game']",1
