comment_id,author,text,published_at
UgzIKs2ZwHSqQseIKHx4AaABAg,@itormentpeople7246,9:50 Dude almost died,2021-11-25T18:51:41Z
Ugwh3hXaTKBCo5AhohF4AaABAg,@lemuelmoses7445,Day 2 of asking jimmy to give me a ps5,2021-11-25T18:51:40Z
UgzqhD7MOP0JxiB-CcF4AaABAg,@ihopei_,this is good content!,2021-11-25T18:51:40Z
UgzFJJIBLyhhEzLbf-14AaABAg,@beyondeverything8036,Mr beast AKA frontman don't kill your dedective brother,2021-11-25T18:51:39Z
Ugyt2v3gQRBIBrgUII14AaABAg,@Its_Vendetta,"On the glass one, what would happen if they fell off the side jumping to the next one",2021-11-25T18:51:39Z
Ugw3e9DCqVL_Xm5x7VV4AaABAg,@evilcraft2627,ول ٤٠ مليون مشاهدة في اقل من يوم,2021-11-25T18:51:37Z
Ugzh2mgGG8s5-78Dyz14AaABAg,@iamsagar___,😳 wow just wow,2021-11-25T18:51:37Z
UgzM4wCKnpVrQxKompd4AaABAg,@em.oliphant,What are you going to do with the $2 million dollar sets now?,2021-11-25T18:51:36Z
UgxbTc2oV5bA6zwAcn94AaABAg,@Sliposlee,The marble game was sad af,2021-11-25T18:51:36Z
UgzRdsguNOSydBeGz0R4AaABAg,@AlejandroGarcia-gw8go,hello new subscriber. greetings ✌,2021-11-25T18:51:34Z
UgxE8VXiTV4I9pZKWjZ4AaABAg,@buhdeuce2131,This is a contender to become one of the most viewed vids ever,2021-11-25T18:51:33Z
Ugwjd6ptSkeEKhk92dN4AaABAg,@helziephoton,This is the Epic’st thing Ever!!! And I didn’t even watch squid game.,2021-11-25T18:51:32Z
Ugxc1YQIhaH_8TEHrRt4AaABAg,@football_world3501,I play da 2 years and i have 50 Browlers,2021-11-25T18:51:32Z
UgxGmFIF8fcQacya5Yh4AaABAg,@sircole6444,bruh 39 mil views in a day,2021-11-25T18:51:31Z
UgyOEBVAdl6DxHruEYR4AaABAg,@Galluxi,His videos just keep getting better!!,2021-11-25T18:51:30Z
UgwUIhQwz_hpV39omr14AaABAg,@Sposobymilionerów,It was amazing,2021-11-25T18:51:30Z
UgzpfHib5Fy0J8OIF9B4AaABAg,@novemberiscoolithink,happy thanksgiving and thanks for the brawl stars coins LOL,2021-11-25T18:51:30Z
UgwUnOG9i2ssZVwwqdp4AaABAg,@stonkgioco4805,HOLD UP,2021-11-25T18:51:30Z
UgxNqpkmMzshqtcUxB14AaABAg,@jsluiscp3622,Hola 🥴😬😇,2021-11-25T18:51:30Z
UgwhituliB9CW77JCvN4AaABAg,@Footballandfootball-ld1to,Awesome content,2021-11-25T18:51:30Z
UgzGWBF6pTad56cL98N4AaABAg,@scarletttuller9372,yay happy thanksgiveing this is asowm,2021-11-25T18:51:29Z
UgyvG-geC6mhweYbqNx4AaABAg,@deepakrohra5024,Completely Awestruck !!!! kudos to Mr Beast for pulling this off :),2021-11-25T18:51:29Z
Ugzp3YgF9vXOi08vaPp4AaABAg,@ashleynyanteh8725,This was definitely worth the wait.👌🏽,2021-11-25T18:51:29Z
Ugy2vYCjXzZmqlWuFFN4AaABAg,@DYM-,احححححاا,2021-11-25T18:51:28Z
UgylmqYyDmg2_2-eHsN4AaABAg,@thedarick6664,Good,2021-11-25T18:51:28Z
UgwnskBUJpyFXxkpmwN4AaABAg,@nameless_monster6609,Subscribed 👏🏾,2021-11-25T18:51:28Z
UgwMbToMX5mFGCUZr5V4AaABAg,@ghsa5840,"Why don't you download an Arabic translation, you don't think right نزل ترجمه عربيه",2021-11-25T18:51:27Z
UgyO2VjRG6VjKnCAFkZ4AaABAg,@AboJamaX1,أفضل يوتيوبر بالعالم.,2021-11-25T18:51:27Z
Ugzye8QB98HuwWX0W3l4AaABAg,@ARWOOO777,Prefecţ,2021-11-25T18:51:26Z
UgzvrnNuwqsvaLe9pHR4AaABAg,@TakahashiQR,"Man, nmms en los comentarios todos los destacados son gente verificada",2021-11-25T18:51:26Z
UgzfcWuztlKrDnHA3LJ4AaABAg,@hollygaming935,I love,2021-11-25T18:51:26Z
UgyO5dHgjKxhSOsGxVd4AaABAg,@goldenerny4480,Ok,2021-11-25T18:51:24Z
UgwVTODW4hAoEcfT-cN4AaABAg,@legokerem5482,AAltın içi teşekkürler,2021-11-25T18:51:22Z
UgzKCpu5Ow6Kvnp_Erp4AaABAg,@belgeseliniz,That was *AMAZING!*,2021-11-25T18:51:22Z
Ugz_J_h-AAkYUm2KNrR4AaABAg,@play_games6867,i subscribed,2021-11-25T18:51:21Z
UgxSaCKGwQE4IO-xKXF4AaABAg,@Deiber-no1xm,Súbelo en espanish,2021-11-25T18:51:21Z
UgyTUWmLfwy8VdkJDCB4AaABAg,@cruzgarza6094,I just Subscribed!,2021-11-25T18:51:18Z
Ugz9njL2rQL2wcKK2K14AaABAg,@carkilelbichota4573,La humildad ante todo,2021-11-25T18:51:17Z
UgwmppzQqP8hK_Q2BDJ4AaABAg,@MrDoki-vt4lm,FINO,2021-11-25T18:51:17Z
UgxbKKFDmffTo6Y-pSd4AaABAg,@IAN-K1LL3D-U,should've said gray light to trick them,2021-11-25T18:51:17Z
UgyaL2jVBS2E5x_PuEV4AaABAg,@Ashl3yxx29,Kinda disappointed that knowone died,2021-11-25T18:51:16Z
UgwO-hJ8bxPM5J7FO-14AaABAg,@ct-1529,This was more enjoyable than the show lol,2021-11-25T18:51:16Z
