comment_id,author,text,published_at
UgyG5Gkhm3I3JwdYMTt4AaABAg,@neversaygoodbye4,At the very end of the video: you can tell Ben tried so hard to suppress that sneeze 😂,2024-08-17T21:12:10Z
Ugyt31zBd9B6B0qJZfd4AaABAg,@Musclemechanic69,I dont like Adam,2024-08-15T21:04:36Z
Ugwds7St4XVeQ5hvzwd4AaABAg,@Songking222,I love the sadness and despair in his voice when he said that it wasnt a question😢😂,2024-08-13T00:33:43Z
UgyjSVzxCXcsUTdEexd4AaABAg,@XSneakerGirlXTLK,5:13 why is his arm like that??,2024-08-12T20:23:30Z
UgwLSQN7_KbmvEuOzXZ4AaABAg,@Airbusplanes,Riccardo is my favorite driver,2024-08-11T23:32:44Z
UgxEfnUi2DfVjK5Nw214AaABAg,@flawor3737,Mayor video got cooked by Adam,2024-08-09T20:35:50Z
UgzcqgFrWnv10HmRKCV4AaABAg,@Foxxy神,JERSEY WAS MENTIONED WWWWWW VIDEO,2024-08-09T13:57:59Z
Ugw6jzob5lUh2zB7P7p4AaABAg,@mattyboyplays7927,Average ‘friendly’ game of tag between me and my friends:,2024-08-08T18:04:26Z
UgwIQ2WSMBd1_XozWSR4AaABAg,@EliasWilkinson-y7y,Coperrighted thumb nail,2024-08-08T12:40:28Z
Ugxz-91eNcV3IU-uDgN4AaABAg,@thiathapanonyada994,I've been hunted like 20 times 😢😢 en I live in Belgium en it's gent not ghent,2024-08-08T10:38:02Z
UgxKmeYGzzctfF873ax4AaABAg,@ErykDudkowski,I saw the same thing on a Polish channel,2024-08-08T07:35:45Z
UgzTPJ4BGzKNbA_dbcd4AaABAg,@justlola417,This is great! The first guy should've hidden in the bathroom until the train left 😂,2024-08-05T18:58:12Z
UgzzVPJuWYHglmUuTkp4AaABAg,@justlola417,THE DANNY RIC HAT BECAUSE IT'S OK TO LOSE IF YOU'RE HAVING FUN IS SO REAL HAHAHAHAHHA,2024-08-05T16:53:55Z
Ugy7JUJ-n8ALoKKSNxd4AaABAg,@baratexx.4034,I need friends like this to play this game,2024-08-05T15:13:41Z
UgwGGHpHmfgoPhdmbV14AaABAg,@MoniaRazdan,not six,2024-08-02T18:07:22Z
Ugzej9tFiKgp7nHoQDJ4AaABAg,@MoniaRazdan,Dunkirk is seven letters,2024-08-02T18:07:01Z
UgxyKwe2bqA5We2hQCp4AaABAg,@tramographyMCR,Best season hands down change my mind,2024-07-30T19:51:22Z
Ugwv08VtbqBAbyVZ57t4AaABAg,@Wolfpack_edits,20:24 i would have 100% jay walked,2024-07-25T19:30:00Z
UgzrfnnJsfrm89wGzmN4AaABAg,@OssiJrgensen,I have,2024-07-25T10:19:21Z
UgxAaolXinHlD-uhdTR4AaABAg,@albertskjelmose9170,I got the Daniel Ricardo reference he’s a F1 driver and the quote is no regrets only memory,2024-07-25T09:42:42Z
UgxkPnwfJiCUnRlYzNN4AaABAg,@mrwittyone,"I'm confused. I thought you two were going to get on the train on track 15 (""Are you sure?"" ""I'm pretty sure."") , but then all of the sudden you get on the train to Courtrai instead. What happened?",2024-07-24T23:13:15Z
UgzZYAIMYn9TQDoTym14AaABAg,@sikeyeon3044,NOT CHZRLEVILLE FRRR JSS CHOQUEEE,2024-07-24T19:21:14Z
UgyL--7YQASG6XMiU294AaABAg,@MrBobSter82,12:03 The Australia Experience,2024-07-24T12:18:05Z
UgwCBGptGiTjZ6gD4Zp4AaABAg,@kittygamer3605,Rain world,2024-07-24T07:58:53Z
UgzuDL0qfHWfJ7GKE2d4AaABAg,@workaholiczz,"These guys travel around Europe just for us, Respect man",2024-07-23T06:45:18Z
UgyiTw11XlavRgV6h2N4AaABAg,@jelyfosh,These guys achieved every child hood dream. Play the biggest game of tag.,2024-07-22T14:46:25Z
UgxpyZpUALZHT8ZFZ1F4AaABAg,@Vrogzux,"I love watching these older vids because of the amount of quality you can see and hear vs the new episodes, new video quality is insane in comparision",2024-07-21T19:11:17Z
Ugyn0oV3LpdH8yp5hW14AaABAg,@genesfel,"TBH, Ben getting caught so early really kinda bumped me out bc that kinda made it somewhat boring for that first part :/",2024-07-21T13:32:22Z
UgxMMD6eLPS_pZyaiaN4AaABAg,@kevincherney7552,I swear you are the guy from HAI and Wendover. You sound EXACTLY the same!,2024-07-21T12:57:57Z
UgzpQTw7VUV0OiJEC_h4AaABAg,@erikire_353,This chanel needs more attention,2024-07-21T10:40:43Z
Ugw5CX1RrXtS6ILeqm14AaABAg,@My_Name_Here420,2 and almost a half month long tag game is crazy,2024-07-20T19:16:38Z
Ugw7AYvuovIb8mQ5kLp4AaABAg,@ms.penguinfisher69420,Saiki K reference?!?!,2024-07-20T09:28:50Z
UgzIhu-krrVitGalV8d4AaABAg,@walidouldali9520,no i was not,2024-07-17T00:29:34Z
