comment_id,author,text,published_at,cleaned_comment,sentiment,sentiment_category,tokens,topic
Ugx9hVM1TAXHrpypYjV4AaABAg,@coffeefilter,"that reminds me of a board game that i used to play when i was a child. instead of friends chasing each other, there was a cop chasing a criminal. you had two tickets for each transportation vehicle (bus, train, plane, tram) and the goal was to either catch the criminal or get away from the cop. this video brought back some memories. love it!",2022-09-24T16:44:23Z,that reminds me of a board game that i used to play when i was a child instead of friends chasing each other there was a cop chasing a criminal you had two tickets for each transportation vehicle bus train plane tram and the goal was to either catch the criminal or get away from the cop this video brought back some memories love it,-0.13750000000000004,Negative,"['remind', 'board', 'game', 'use', 'play', 'child', 'instead', 'friend', 'chase', 'cop', 'chase', 'criminal', 'two', 'ticket', 'transportation', 'vehicle', 'bus', 'train', 'plane', 'tram', 'goal', 'either', 'catch', 'criminal', 'get', 'away', 'cop', 'video', 'bring', 'back', 'memory', 'love']",2
UgzBxSPn8UHfkHCxLc94AaABAg,@DaBannyGaming,"I'm so glad youtube decided to recommend me this. Super interesting video, great concept, and really well edited!!",2022-09-24T16:30:39Z,i m so glad youtube decided to recommend me this super interesting video great concept and really well edited,0.4666666666666667,Positive,"['glad', 'youtube', 'decide', 'recommend', 'super', 'interesting', 'video', 'great', 'concept', 'really', 'well', 'edit']",1
UgzF9eOhGN6D2j1fePh4AaABAg,@STANDARDISSUE_,"I thought Sam should have hopped a plane to London, grinded, then just flown down to his location",2022-09-24T16:25:31Z,i thought sam should have hopped a plane to london grinded then just flown down to his location,-0.15555555555555559,Negative,"['think', 'sam', 'hop', 'plane', 'london', 'grind', 'fly', 'location']",2
UgwdjfWn1qLNRAiVHHV4AaABAg,@charakiga,"The way they wrote « brusseles » I swear xD
Not to unplease me though, France Belgium Switzerland war will never end on internet eheh",2022-09-24T15:51:47Z,the way they wrote brusseles i swear xd not to unplease me though france belgium switzerland war will never end on internet eheh,0.0,Neutral,"['way', 'write', 'brusseles', 'swear', 'xd', 'unplease', 'though', 'france', 'belgium', 'switzerland', 'war', 'never', 'end', 'internet', 'eheh']",1
UgyLPCExtQ9QaDyxhiZ4AaABAg,@fantasygames4130,"A game of tag in 72h 
ME: SPEED 100",2022-09-24T15:26:25Z,a game of tag in 72h me speed 100,-0.4,Negative,"['game', 'tag', 'speed']",2
UgxShNFLlFS2Wc6V-Eh4AaABAg,@savagegamer-em1ze,I love Danny :),2022-09-24T15:25:25Z,i love danny,0.5,Positive,"['love', 'danny']",3
Ugzolk4-_4cp9WwxINx4AaABAg,@Gpekle,wow already got him? Kinda boring,2022-09-24T15:22:38Z,wow already got him kinda boring,-0.45,Negative,"['wow', 'already', 'get', 'kinda', 'boring']",3
UgxC9tFpFC5-_pkfvHd4AaABAg,@groovysharkbait2180,I got that danny ricciardo reference,2022-09-24T14:20:58Z,i got that danny ricciardo reference,0.0,Neutral,"['get', 'danny', 'ricciardo', 'reference']",3
Ugzmtz_Xek9LFGQNKPd4AaABAg,@ultimateGIGA,#underrated,2022-09-24T14:05:12Z,,0.0,Neutral,[],0
Ugy1mzkyibgh3sFN7Bp4AaABAg,@Foodsafetypolicy,The cursed card really saved sam,2022-09-24T13:09:45Z,the cursed card really saved sam,0.2,Positive,"['cursed', 'card', 'really', 'save', 'sam']",3
UgxSPxPZM9xmOR2OG1V4AaABAg,@enflamed8610,They just assumed he was in Lille even though they didn't know,2022-09-24T11:55:59Z,they just assumed he was in lille even though they didn t know,0.0,Neutral,"['assume', 'lille', 'even', 'though', 'know']",4
